Date-time,Text, Unix Timestamp
4:36 AM - 18 Dec 2013,@frances85350358 la fermata del #tram1 è di fronte alla stazione di Cadorna  calcola il percorso dettagliato con http://bit.ly/GiroMilano .,1387370172

4:15 AM - 18 Dec 2013,#tram7: termina in p.le Lagosta (auto in sosta irregolare). Bus di collegamento fino al capolinea di via Messina. #ATM #Milano,1387368900

3:26 AM - 18 Dec 2013,@simo_gio sì  quando torneranno dei posti disponibili si potrà accedere nuovamente al parcheggio. Grazie e buona giornata.,1387365986

3:04 AM - 18 Dec 2013,#bus94: rallentamenti (traffico in zona via Senato/Sforza). #ATM #Milano,1387364673

2:05 AM - 18 Dec 2013,#bus924: modifica il percorso per un mese circa (lavori stradali in via Borsellino a Vimodrone) http://bit.ly/1jhdIKY . #ATM,1387361152

2:02 AM - 18 Dec 2013,@Cristiana_Bucci Grazie per la segnalazione. Gli avvisi sulla modifica di percorso ancora attiva saranno aggiornati: http://bit.ly/1jhdIKY .,1387360975

1:35 AM - 18 Dec 2013,#tram9 #tram33: subiscono rallentamenti e deviazioni (manifestazione in via Filzi). #ATM #Milano,1387359343

1:20 AM - 18 Dec 2013,#bus431 #bus433: modificano il percorso a Cornaredo fino al 16/2 (lavori stradali in via Garibaldi) http://bit.ly/1enM0dm . #ATM,1387358456

12:46 AM - 18 Dec 2013,#bus95: rallentamenti (traffico). #ATM #Milano,1387356390

11:46 PM - 17 Dec 2013,#tram9: rallentamenti (inconveniente tecnico). #ATM #Milano,1387352765

